"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "#contig_id" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"50" "gene-VARPA_RS00250" 5671.20717680926 0.425779352612066 0.124965182528586 3.40718385710891 0.000656368971577086 0.0396003867031691 "NC_014931.1" "gidA, mnmG, MTO1" "K03495" "tRNA uridine 5-carboxymethylaminomethyl modification enzyme" "NULL" "NULL" "NULL" "NULL" "PF01134.21" "GIDA" "-" "NULL" "NULL" "NULL" "NULL" "COG0445" "GidA" "Flavin-dependent tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA" "Cell cycle control, cell division, chromosome partitioning" "KOG2311" "KOG2311" "NAD/FAD-utilizing protein possibly involved in translation" "Translation, ribosomal structure and biogenesis" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"52" "gene-VARPA_RS00260" 2897.33404043324 0.337518108302243 0.100686725408935 3.35216094208474 0.000801833907575592 0.0416400643037532 "NC_014931.1" "leuE" "K11250" "leucine efflux protein" "NULL" "NULL" "NULL" "NULL" "PF01810.17" "LysE" "-" "NULL" "NULL" "NULL" "NULL" "COG1280" "RhtB" "Putative threonine efflux protein" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"134" "gene-VARPA_RS00680" 3469.51659302906 -0.304666490109359 0.0874803879762063 -3.48268334374814 0.000496415166790117 0.0365454671458057 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"180" "gene-VARPA_RS00925" 3569.01233439517 1.55173682731882 0.456251409921218 3.40105650870594 0.00067125950209911 0.0397486313716254 "NC_014931.1" "NULL" "NULL" "transcriptional regulator, IclR family" "NULL" "NULL" "NULL" "NULL" "PF01614.17" "IclR" "-" "NULL" "NULL" "NULL" "NULL" "COG1414" "IclR" "Transcriptional regulator" "Transcription" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"181" "gene-VARPA_RS00930" 3947.92925936809 1.59325235975469 0.405871297546277 3.92551128741254 8.65457114125989e-05 0.0184131703416775 "NC_014931.1" "ABC.PA.S" "K02030" "polar amino acid transport system substrate-binding protein" "NULL" "NULL" "NULL" "NULL" "PF10613.8" "Lig_chan-Glu_bd" "-" "NULL" "NULL" "NULL" "NULL" "COG0834" "HisJ" "ABC-type amino acid transport/signal transduction systems, periplasmic component/domain" "Amino acid transport and metabolism / Signal transduction mechanisms" "KOG1052" "KOG1052" "Glutamate-gated kainate-type ion channel receptor subunit GluR5 and related subunits" "Inorganic ion transport and metabolism, Amino acid transport and metabolism, Signal transduction mechanisms" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"182" "gene-VARPA_RS00935" 1387.03097682564 1.56999157850158 0.398643358691786 3.93833622025904 8.20485699061443e-05 0.0184131703416775 "NC_014931.1" "ABC.PA.P" "K02029" "polar amino acid transport system permease protein" "NULL" "NULL" "NULL" "NULL" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG0765" "HisM" "ABC-type amino acid transport system, permease component" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"186" "gene-VARPA_RS00955" 2304.58372166095 1.5226026409564 0.43823438315665 3.47440251033917 0.000511992374635632 0.0369604522823903 "NC_014931.1" "hutF" "K05603" "formimidoylglutamate deiminase" "M00045" "Histidine degradation, histidine => N-formiminoglutamate => glutamate" "ko00340==ko01100" "Histidine metabolism==Metabolic pathways" "PF01979.19" "Amidohydro_1" "-" "NULL" "NULL" "NULL" "NULL" "COG0402" "SsnA" "Cytosine deaminase and related metal-dependent hydrolases" "Nucleotide transport and metabolism / General function prediction only" "KOG3968" "KOG3968" "Atrazine chlorohydrolase/guanine deaminase" "Nucleotide transport and metabolism, Secondary metabolites biosynthesis, transport and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"187" "gene-VARPA_RS00960" 1875.14333855029 1.54976964850089 0.412788656586194 3.75439010683493 0.000173764058986035 0.0205246017908211 "NC_014931.1" "hutG" "K01458" "N-formylglutamate deformylase" "M00045" "Histidine degradation, histidine => N-formiminoglutamate => glutamate" "ko00340==ko00630==ko01100" "Histidine metabolism==Glyoxylate and dicarboxylate metabolism==Metabolic pathways" "PF05013.11" "FGase" "-" "NULL" "NULL" "NULL" "NULL" "COG3741" "HutG" "N-formylglutamate amidohydrolase" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"194" "gene-VARPA_RS01000" 12389.7101985977 0.43970345031176 0.105792533868504 4.15628054488507 3.23470585922546e-05 0.0180956764615816 "NC_014931.1" "metH, MTR" "K00548" "5-methyltetrahydrofolate--homocysteine methyltransferase" "M00017" "Methionine biosynthesis, apartate => homoserine => methionine" "ko00270==ko00450==ko00670==ko01100==ko01110==ko01230" "Cysteine and methionine metabolism==Selenocompound metabolism==One carbon pool by folate==Metabolic pathways==Biosynthesis of secondary metabolites==Biosynthesis of amino acids" "PF02310.18" "B12-binding" "-" "NULL" "NULL" "NULL" "NULL" "COG1410" "MetH" "Methionine synthase I, cobalamin-binding domain" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"252" "gene-VARPA_RS01295" 5981.37545663523 0.607386730797051 0.164168313529114 3.69978053462391 0.000215785991797825 0.0230883169950141 "NC_014931.1" "rdgC" "K03554" "recombination associated protein RdgC" "NULL" "NULL" "NULL" "NULL" "PF04381.11" "RdgC" "-" "NULL" "NULL" "NULL" "NULL" "COG2974" "RdgC" "DNA recombination-dependent growth factor C" "DNA replication, recombination, and repair" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
